2019-02-21 13:05:11, 0 blocks, 4014.813520, -11138.858340, 4601, Unknown
2019-02-21 13:05:12, 0 blocks, 4014.813520, -11138.858340, 4601, Unknown
2019-02-21 13:05:13, 0 blocks, 4014.813520, -11138.858340, 4601, Unknown
2019-02-21 13:05:14, 0 blocks, 4014.813520, -11138.858340, 4601, Unknown
2019-02-21 13:05:15, 0 blocks, 4014.813520, -11138.858340, 4601, Unknown
2019-02-21 13:05:16, 0 blocks, 4014.813520, -11138.858340, 4601, Unknown
2019-02-21 13:05:17, 0 blocks, 4014.813520, -11138.858340, 4601, Unknown
2019-02-21 13:05:18, 0 blocks, 4014.813520, -11138.858340, 4601, Unknown
2019-02-21 13:05:19, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:20, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:21, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:22, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:23, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:24, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:25, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:26, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:27, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:28, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:29, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:30, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:31, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:32, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:33, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:34, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:35, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:36, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:37, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:38, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:39, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:40, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:41, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:42, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:43, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:44, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:45, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:46, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:47, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:48, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:49, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:50, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:51, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:52, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:53, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:54, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:55, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:56, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:57, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:58, 0 blocks, 4014.813520, -11138.858640, 4602, Unknown
2019-02-21 13:05:59, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:00, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:01, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:02, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:03, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:04, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:05, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:06, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:07, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:08, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:09, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:10, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:11, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:12, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:13, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:14, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:15, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:16, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:17, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:18, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:19, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:20, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:21, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:22, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:23, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:24, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:25, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:26, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:27, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:28, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:29, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:30, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:31, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:32, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:33, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:34, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:35, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:36, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:37, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:38, 0 blocks, 4014.813400, -11138.858820, 4600, Unknown
2019-02-21 13:06:39, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:06:40, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:06:41, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:06:42, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:06:43, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:06:44, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:06:45, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:06:46, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:06:47, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:06:48, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:06:49, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:06:50, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:06:51, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:06:52, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:06:53, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:06:54, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:06:55, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:06:56, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:06:57, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:06:58, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:06:59, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:07:00, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:07:01, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:07:02, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:07:03, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:07:04, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:07:05, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:07:06, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:07:07, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:07:08, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:07:09, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:07:10, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:07:11, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:07:12, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:07:13, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:07:14, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:07:15, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:07:16, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:07:17, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:07:18, 0 blocks, 4014.813220, -11138.859180, 4599, Unknown
2019-02-21 13:07:19, 0 blocks, 4014.813220, -11138.858820, 4599, Unknown
2019-02-21 13:07:20, 0 blocks, 4014.813220, -11138.858820, 4599, Unknown
2019-02-21 13:07:21, 0 blocks, 4014.813220, -11138.858820, 4599, Unknown
2019-02-21 13:07:22, 0 blocks, 4014.813220, -11138.858820, 4599, Unknown
2019-02-21 13:07:23, 0 blocks, 4014.813220, -11138.858820, 4599, Unknown
2019-02-21 13:07:24, 0 blocks, 4014.813220, -11138.858820, 4599, Unknown
2019-02-21 13:07:25, 0 blocks, 4014.813220, -11138.858820, 4599, Unknown
2019-02-21 13:07:26, 0 blocks, 4014.813220, -11138.858820, 4599, Unknown
2019-02-21 13:07:27, 0 blocks, 4014.813220, -11138.858820, 4599, Unknown
2019-02-21 13:07:28, 0 blocks, 4014.813220, -11138.858820, 4599, Unknown
2019-02-21 13:07:29, 0 blocks, 4014.813220, -11138.858820, 4599, Unknown
2019-02-21 13:07:30, 0 blocks, 4014.813220, -11138.858820, 4599, Unknown
2019-02-21 13:07:31, 0 blocks, 4014.813220, -11138.858820, 4599, Unknown
2019-02-21 13:07:32, 0 blocks, 4014.813220, -11138.858820, 4599, Unknown
2019-02-21 13:07:33, 0 blocks, 4014.813220, -11138.858820, 4599, Unknown
2019-02-21 13:07:34, 0 blocks, 4014.813220, -11138.858820, 4599, Unknown
